trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2121,False,"{'a': 0.4, 'e': 0.02054633492393149}",20,14,11.516651171936337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2122,False,"{'a': 0.4, 'e': 0.0205087165712778}",20,10,19.67843340387034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2123,False,"{'a': 0.4, 'e': 0.020471167094190557}",20,14,10.650105544157087,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2124,False,"{'a': 0.4, 'e': 0.02043368636656525}",20,16,6.78444534326297,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2125,False,"{'a': 0.4, 'e': 0.020396274262528286}",25,18,15.106055059591615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2126,False,"{'a': 0.4, 'e': 0.020358930656436503}",25,12,11.362408754227145,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2127,False,"{'a': 0.4, 'e': 0.020321655422876776}",30,19,14.245382393878923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2128,False,"{'a': 0.4, 'e': 0.0202844484366656}",20,3,23.83560035529983,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2129,False,"{'a': 0.4, 'e': 0.02024730957284871}",20,14,11.037194408484588,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2130,False,"{'a': 0.4, 'e': 0.02021023870670057}",20,11,17.891525579966398,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2131,False,"{'a': 0.4, 'e': 0.02017323571372403}",20,13,13.18216134639259,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2132,False,"{'a': 0.4, 'e': 0.02013630046964985}",25,8,30.083975376894237,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2133,False,"{'a': 0.4, 'e': 0.020099432850436375}",30,21,15.576468042572982,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2134,False,"{'a': 0.4, 'e': 0.020062632732269013}",35,25,9.557159356348851,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2135,False,"{'a': 0.4, 'e': 0.02002589999155987}",25,7,34.23486550648597,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2136,False,"{'a': 0.4, 'e': 0.019989234504947318}",25,12,23.312637545709936,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2137,False,"{'a': 0.4, 'e': 0.019952636149295645}",25,10,30.857021179439307,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2138,False,"{'a': 0.4, 'e': 0.019916104801694534}",20,10,19.169922576364428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2139,False,"{'a': 0.4, 'e': 0.019879640339458722}",25,11,29.214308414717642,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2140,False,"{'a': 0.4, 'e': 0.01984324264012756}",25,12,26.217783918712595,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2141,False,"{'a': 0.4, 'e': 0.01980691158146465}",20,12,15.951141332453787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2142,False,"{'a': 0.4, 'e': 0.019770647041457364}",25,13,26.179950280751346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2143,False,"{'a': 0.4, 'e': 0.01973444889831647}",30,16,29.33400179725379,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2144,False,"{'a': 0.4, 'e': 0.019698317030475712}",30,8,25.0845198079646,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
